Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Corsi (EV),Corsi (EV),Corsi (EV),Corsi (EV),Fenwick (EV),Fenwick (EV),Fenwick (EV),Fenwick (EV),PDO (),PDO (),,Zone Starts (EV),Zone Starts (EV),,,,,,,
,Rk,Player,Age,Tm,Pos,GP,CF,CA,CF%,CF% rel,FF,FA,FF%,FF% rel,oiSH%,oiSV%,PDO,oZS%,dZS%,TOI/60,TOI(EV),TK,GV,E+/-,SAtt.,Thru%
,1,Justin Abdelkader\abdelju01,32,DET,LW,31,203,241,45.7,-1.4,150,166,47.5,-0.3,5.7,89.9,95.6,41.5,58.5,12:14,10:15,7,12,-1.4,53,52.8
,2,Pontus Aberg\abergpo01,26,TOR,LW,3,22,29,43.1,-6.1,12,22,35.3,-10.9,16.7,91.7,108.3,41.7,58.3,10:03,10:03,1,0,-0.7,3,66.7
,3,Vitaly Abramov\abramvi01,21,OTT,RW,2,11,17,39.3,-14.7,9,12,42.9,-11.8,16.7,87.5,104.2,33.3,66.7,5:47,5:47,0,1,-0.4,4,75.0
,4,Noel Acciari\acciano01,28,FLA,C,43,456,499,47.7,-2.5,336,350,49.0,-1.6,11.9,88.4,100.3,40.0,60.0,15:46,12:54,19,16,-2.3,121,57.9
,5,Andrew Agozzino\agozzan01,29,PIT,LW,7,24,30,44.4,-6.4,16,23,41.0,-9.9,11.1,85.0,96.1,50.0,50.0,6:52,6:06,2,1,-1.2,5,60.0
,6,Sebastian Aho\ahose01,22,CAR,F,48,662,488,57.6,4.0,481,382,55.7,2.2,11.7,86.4,98.1,56.8,43.2,19:19,14:36,44,46,5.1,224,62.1
,7,Michael Amadio\amadimi01,23,LAK,C,47,499,390,56.1,3.1,366,284,56.3,3.2,9.3,86.0,95.3,48.2,51.8,13:37,11:48,25,17,4.7,133,59.4
,8,Josh Anderson\anderjo05,25,CBJ,RW,26,247,282,46.7,-3.5,187,201,48.2,-4.7,8.1,87.0,95.1,53.3,46.7,16:04,12:25,9,12,-1.5,98,64.3
,9,Jaret Anderson-Dolan\anderja01,20,LAK,C,3,27,20,57.4,5.3,24,16,60.0,8.7,0.0,90.9,90.9,55.6,44.4,10:18,10:02,0,2,-1.0,2,100.0
,10,Lias Andersson\anderli01,21,NYR,C,17,70,125,35.9,-8.1,59,97,37.8,-7.2,5.0,84.8,89.8,44.2,55.8,9:33,7:29,8,4,-2.7,14,92.9
,11,Rasmus Andersson\anderra01,23,CGY,D,49,691,622,52.6,3.2,520,472,52.4,4.0,7.3,89.9,97.2,54.4,45.6,19:04,16:52,11,25,-0.1,157,58.0
,12,Andy Andreoff\andrean01,28,PHI,LW,13,66,83,44.3,-6.8,53,61,46.5,-3.6,7.5,87.8,95.3,42.3,57.7,8:19,8:18,1,0,-0.8,17,76.5
,13,Artem Anisimov\anisiar01,31,OTT,C,29,265,312,45.9,-0.7,186,228,44.9,-2.5,11.2,84.9,96.1,57.9,42.1,14:03,12:08,11,7,-2.9,110,46.4
,14,Mason Appleton\applema01,24,WPG,C,23,141,152,48.1,0.1,107,113,48.6,2.0,4.5,91.1,95.6,51.1,48.9,10:02,9:12,5,5,-0.7,39,48.7
,15,Josh Archibald\archijo01,27,EDM,RW,39,263,324,44.8,-2.6,195,221,46.9,-1.2,8.9,84.2,93.1,39.9,60.1,12:33,9:58,14,7,-4.0,76,55.3
,16,Joel Armia\armiajo01,26,MTL,RW,36,449,402,52.8,-2.4,335,309,52.0,-3.4,12.0,88.6,100.6,52.1,47.9,17:01,13:22,29,17,3.7,184,62.5
,17,Viktor Arvidsson\arvidvi01,26,NSH,LW,34,361,340,51.5,-0.8,264,248,51.6,-1.4,11.6,90.8,102.4,58.1,41.9,17:05,13:08,11,10,0.5,165,48.5
,18,Rasmus Asplund\asplura01,22,BUF,F,28,168,181,48.1,-2.7,133,147,47.5,-2.8,7.5,89.5,97.0,36.2,63.8,10:53,8:59,5,6,-1.0,41,82.9
,19,Zach Aston-Reese\astonza01,25,PIT,C,48,436,376,53.7,1.8,322,275,53.9,1.3,8.3,91.0,99.2,31.7,68.3,14:29,12:16,17,17,6.0,143,62.9
,20,Andreas Athanasiou\athanan01,25,DET,C,36,345,406,45.9,-1.0,273,301,47.6,0.5,9.1,77.2,86.4,55.4,44.6,16:40,14:22,7,21,-4.6,143,61.5
,21,Cam Atkinson\atkinca01,30,CBJ,RW,36,384,425,47.5,-3.2,277,299,48.1,-4.8,9.2,89.8,99.0,50.5,49.5,17:55,13:36,18,16,-2.6,176,66.5
,22,Nicolas Aube-Kubel\aubekni01,23,PHI,RW,15,119,129,48.0,-4.1,90,90,50.0,-2.3,13.3,82.9,96.2,51.9,48.1,11:55,10:23,6,5,-1.6,46,56.5
,23,David Backes\backeda01,35,BOS,C,16,114,92,55.3,2.7,90,68,57.0,4.5,5.6,89.8,95.4,53.8,46.2,8:33,8:12,4,2,1.3,36,72.2
,24,Mikael Backlund\backlmi01,30,CGY,C,49,605,607,49.9,-0.5,431,469,47.9,-2.1,9.9,90.9,100.8,50.8,49.2,18:09,14:50,39,38,-5.2,197,49.2
,25,Nicklas Backstrom\backsni02,32,WSH,C,40,554,502,52.5,-0.3,403,368,52.3,-1.1,13.1,85.6,98.6,52.1,47.9,19:10,14:52,24,33,3.9,149,59.7
,26,Sven Baertschi\baertsv01,27,VAN,LW,6,69,36,65.7,13.8,47,27,63.5,13.0,0.0,90.9,90.9,53.1,46.9,11:49,10:13,1,1,0.1,15,46.7
,27,Josh Bailey\bailejo01,30,NYI,C,46,493,562,46.7,0.3,346,407,45.9,-1.4,10.8,87.9,98.7,55.4,44.6,17:13,13:34,32,42,-3.3,117,53.0
,28,Rudolfs Balcers\balceru01,22,OTT,LW,7,53,47,53.0,7.6,41,32,56.2,10.7,8.7,92.3,101.0,70.0,30.0,10:15,8:49,4,2,0.2,14,57.1
,29,Ivan Barbashev\barbaiv01,24,STL,C,46,361,427,45.8,-4.9,260,318,45.0,-5.4,12.6,90.7,103.3,38.3,61.7,13:51,11:54,23,21,-6.5,99,51.5
,30,Riley Barber\barberi01,25,MTL,RW,9,62,54,53.4,-1.8,47,38,55.3,-0.5,0.0,96.0,96.0,50.0,50.0,8:15,8:15,0,2,-0.3,11,54.5
,31,Mark Barberio\barbema01,29,COL,D,14,163,180,47.5,-2.2,115,128,47.3,-2.0,10.2,97.8,108.1,33.0,67.0,15:51,14:11,2,11,0.1,36,58.3
,32,Cole Bardreau\bardrco01,26,NYI,F,9,35,62,36.1,-10.0,30,41,42.3,-5.2,10.5,88.5,99.0,54.8,45.2,8:26,7:50,3,4,-0.2,12,75.0
,33,Aleksander Barkov\barkoal01,24,FLA,C,46,603,547,52.4,3.3,453,443,50.6,0.2,13.0,88.1,101.1,60.0,40.0,19:55,15:08,36,31,2.6,189,63.0
,34,Tyson Barrie\barrity01,28,TOR,D,48,835,673,55.4,4.0,616,523,54.1,3.4,10.8,88.1,98.9,56.3,43.7,21:12,18:26,10,43,3.5,258,48.8
,35,Mathew Barzal\barzama01,22,NYI,C,46,691,658,51.2,6.7,496,465,51.6,6.5,11.5,89.4,101.0,58.9,41.1,19:27,16:43,54,74,4.8,186,59.7
,36,Drake Batherson\bathedr01,21,OTT,C,8,71,116,38.0,-9.6,46,84,35.4,-13.7,3.1,90.8,93.9,49.1,50.9,15:46,13:36,3,2,-2.5,18,50.0
,37,Jay Beagle\beaglja01,34,VAN,RW/C,39,206,366,36.0,-15.2,169,258,39.6,-12.3,6.7,90.2,96.8,31.5,68.5,12:39,9:19,7,5,-7.5,53,67.9
,38,Ethan Bear\bearet01,22,EDM,D,48,721,715,50.2,4.6,535,542,49.7,2.6,11.3,87.6,98.9,49.5,50.5,21:14,18:28,30,56,3.6,120,53.3
,39,J.C. Beaudin\beaudje01,22,OTT,C,22,112,152,42.4,-5.5,79,113,41.1,-8.0,7.1,87.8,94.9,47.1,52.9,8:38,8:17,1,2,-1.5,28,64.3
,40,Nathan Beaulieu\beaulna01,27,WPG,D,21,183,235,43.8,-4.4,141,168,45.6,-0.8,11.0,94.3,105.3,52.6,47.4,15:56,13:25,5,12,-0.6,26,50.0
,41,Anthony Beauvillier\beauvan01,22,NYI,LW,46,516,603,46.1,-0.5,380,436,46.6,-0.6,11.1,89.8,101.0,47.9,52.1,17:32,14:30,25,36,2.1,159,56.0
,42,Pierre-Edouard Bellemare\bellepi01,34,COL,LW,46,411,381,51.9,0.6,289,271,51.6,0.8,10.9,90.0,100.9,41.4,58.6,13:19,10:54,36,13,4.4,85,64.7
,43,Emil Bemstrom\bemstem01,20,CBJ,C,34,234,248,48.5,0.3,175,179,49.4,-0.5,7.2,93.2,100.4,59.8,40.2,11:14,9:36,6,10,0.9,86,59.3
,44,Jamie Benn\bennja01,30,DAL,LW,47,555,557,49.9,1.6,408,407,50.1,1.8,9.1,90.8,99.9,52.9,47.1,16:53,13:58,34,42,6.1,208,58.2
,45,Jordie Benn\bennjo01,32,VAN,D,38,342,485,41.4,-10.6,266,352,43.0,-9.3,10.5,91.3,101.8,47.1,52.9,16:36,13:50,6,17,-6.0,99,50.5
,46,Sam Bennett\bennesa01,23,CGY,C,33,301,277,52.1,1.5,211,193,52.2,2.7,6.9,95.1,102.0,47.4,52.6,12:38,11:19,13,11,0.8,107,51.4
,47,Matt Benning\bennima01,25,EDM,D,24,185,209,47.0,-0.7,141,138,50.5,2.7,15.3,92.7,108.0,44.8,55.2,13:42,12:41,9,11,-0.3,41,43.9
,48,Patrice Bergeron\bergepa01,34,BOS,C,40,502,384,56.7,7.8,367,286,56.2,7.4,15.5,87.2,102.7,60.2,39.8,19:17,13:55,28,19,5.0,236,60.2
,49,Lean Bergmann\bergmle01,21,SJS,F,8,36,63,36.4,-16.7,30,48,38.5,-13.1,5.6,81.8,87.4,59.0,41.0,8:27,7:35,3,0,-1.7,14,64.3
,50,Tyler Bertuzzi\bertuty01,24,DET,LW,48,602,578,51.0,5.5,452,421,51.8,5.6,11.0,86.1,97.1,49.5,50.5,19:30,15:59,16,38,1.3,147,61.2
,51,Alex Biega\biegaal01,31,DET,D,26,202,252,44.5,-3.0,149,195,43.3,-4.6,8.5,92.9,101.3,51.0,49.0,14:13,13:13,3,11,-1.2,51,47.1
,52,Jake Bischoff\bischja01,25,VEG,D,4,43,51,45.7,0.9,34,35,49.3,4.1,12.0,81.5,93.5,46.5,53.5,15:36,14:53,0,2,0.0,10,60.0
,53,Clark Bishop\bishocl01,23,CAR,C,5,25,21,54.3,3.0,19,14,57.6,6.3,7.7,71.4,79.1,60.0,40.0,7:39,7:23,1,1,-0.9,6,66.7
,54,Anthony Bitetto\bitetan01,29,WPG,D,38,343,390,46.8,-2.0,256,280,47.8,0.2,13.2,90.9,104.1,56.3,43.7,15:17,13:03,8,13,-0.3,85,54.1
,55,Anders Bjork\bjorkan01,23,BOS,LW,41,345,369,48.3,-2.0,268,271,49.7,0.0,9.5,91.5,101.0,52.1,47.9,13:05,12:20,14,11,1.5,97,55.7
,56,Oliver Bjorkstrand\bjorkol01,24,CBJ,RW,36,436,360,54.8,5.4,331,255,56.5,5.2,10.6,89.2,99.8,53.3,46.7,17:18,14:30,25,18,5.3,199,61.3
,57,Tobias Bjornfot\bjornto01,18,LAK,D,3,22,38,36.7,-19.6,15,29,34.1,-25.2,0.0,78.9,78.9,37.9,62.1,12:58,11:59,0,0,-0.6,0,
,58,Nick Bjugstad\bjugsni01,27,PIT,C,10,95,81,54.0,-3.6,67,52,56.3,-2.0,8.3,92.5,100.8,39.3,60.7,13:14,11:06,3,3,-0.3,35,45.7
,59,Colin Blackwell\blackco01,26,NSH,C,14,145,108,57.3,7.0,110,72,60.4,10.1,15.0,91.8,106.8,53.3,46.7,11:07,10:60,5,3,2.9,31,54.8
,60,Sammy Blais\blaissa01,23,STL,LW,20,174,153,53.2,3.8,135,119,53.1,4.1,10.4,91.6,102.0,54.7,45.3,13:29,12:12,7,12,1.3,44,65.9
,61,Joseph Blandisi\blandjo01,25,PIT,C,21,87,130,40.1,-11.0,63,99,38.9,-13.0,13.5,87.3,100.8,36.9,63.1,8:13,8:07,8,1,-1.9,21,57.1
,62,Joachim Blichfeld\blichjo01,21,SJS,W,2,11,17,39.3,-6.0,8,12,40.0,-7.8,0.0,83.3,83.3,35.7,64.3,11:05,10:48,1,0,-0.2,3,33.3
,63,Teddy Blueger\bluegte01,25,PIT,C,48,467,427,52.2,0.1,343,318,51.9,-1.2,8.6,90.4,98.9,28.6,71.4,15:55,13:28,19,18,3.2,112,65.2
,64,Mikkel Boedker\boedkmi01,30,OTT,RW,7,27,39,40.9,-6.2,19,25,43.2,-5.3,7.7,95.0,102.7,63.6,36.4,7:20,7:09,0,4,0.1,7,71.4
,65,Brock Boeser\boesebr01,22,VAN,RW,48,585,486,54.6,7.5,437,353,55.3,7.5,15.0,85.5,100.5,53.3,46.7,19:00,14:28,14,19,0.8,245,60.8
,66,Zach Bogosian\bogosza01,29,BUF,D,17,155,199,43.8,-5.4,116,150,43.6,-5.6,16.5,91.7,108.1,44.4,55.6,16:56,14:30,2,8,-1.2,27,51.9
,67,Nick Bonino\boninni01,31,NSH,C,46,503,434,53.7,2.1,398,309,56.3,4.8,13.7,88.7,102.3,33.8,66.2,16:47,12:19,37,17,7.4,129,62.8
,68,Adam Boqvist\boqviad01,19,CHI,D,23,244,271,47.4,-0.2,184,214,46.2,0.5,8.3,88.0,96.3,61.2,38.8,16:25,14:01,5,14,-3.2,65,46.2
,69,Jesper Boqvist\boqvije01,21,NJD,C,33,225,251,47.3,0.8,161,184,46.7,-0.8,4.5,90.6,95.1,50.0,50.0,10:57,9:50,12,11,-3.4,69,59.4
,70,Henrik Borgström\borgshe01,22,FLA,C,4,24,25,49.0,-6.5,17,18,48.6,-10.3,0.0,85.7,85.7,69.2,30.8,12:23,9:41,3,1,-0.2,4,75.0
,71,Mark Borowiecki\borowma01,30,OTT,D,45,485,632,43.4,-5.1,379,445,46.0,-2.5,13.0,89.6,102.6,38.6,61.4,18:11,15:40,10,25,-1.4,103,52.4
,72,Robert Bortuzzo\borturo01,30,STL,D,29,213,226,48.5,-4.0,173,189,47.8,-4.6,12.7,95.5,108.2,54.5,45.5,13:23,10:51,2,8,0.7,41,61.0
,73,Gabriel Bourque\bourqga01,29,WPG,LW,32,193,231,45.5,-4.2,145,170,46.0,-2.2,7.1,93.0,100.1,47.4,52.6,10:02,9:30,5,11,-2.4,48,56.3
,74,Jay Bouwmeester\bouwmja01,36,STL,D,48,556,653,46.0,-5.6,420,492,46.1,-4.9,10.9,91.8,102.6,42.1,57.9,21:34,18:43,10,27,-7.6,86,55.8
,75,Madison Bowey\boweyma01,24,DET,D,37,365,461,44.2,-3.5,282,343,45.1,-3.4,11.7,84.5,96.2,48.5,51.5,17:25,15:51,9,32,-7.7,92,52.2
,76,Johnny Boychuk\boychjo01,36,NYI,D,45,553,638,46.4,0.1,399,451,46.9,0.1,8.2,92.3,100.5,54.8,45.2,17:46,15:14,4,43,2.0,168,45.2
,77,Travis Boyd\boydtr01,26,WSH,C,19,149,116,56.2,5.1,104,89,53.9,3.0,16.9,91.9,108.8,54.0,46.0,11:34,10:22,6,5,0.0,25,76.0
,78,Brian Boyle\boylebr01,35,FLA,C,35,255,335,43.2,-7.1,195,246,44.2,-6.2,14.0,87.3,101.3,50.0,50.0,12:16,10:49,16,11,-1.7,90,58.9
,79,Tyler Bozak\bozakty01,33,STL,C,47,410,408,50.1,0.4,304,310,49.5,0.1,10.8,93.7,104.5,51.1,48.9,15:30,12:25,22,15,2.0,102,68.6
,80,Erik Brannstrom\branner01,20,OTT,D,31,310,336,48.0,0.3,217,234,48.1,-0.2,10.4,86.8,97.2,53.1,46.9,14:51,13:10,5,20,0.9,90,42.2
,81,Derick Brassard\brassde01,32,NYI,C,46,440,510,46.3,-0.3,321,363,46.9,-0.1,11.3,91.2,102.5,49.7,50.3,14:26,12:18,18,28,2.3,132,60.6
,82,Jesper Bratt\brattje01,21,NJD,W,39,317,372,46.0,-1.1,244,262,48.2,0.6,12.2,84.7,97.0,53.1,46.9,13:36,11:33,11,18,-3.9,85,64.7
,83,Justin Braun\braunju01,32,PHI,D,42,500,431,53.7,2.3,349,323,51.9,1.0,9.6,84.5,94.1,50.6,49.4,17:30,15:27,7,21,2.6,115,45.2
,84,T.J. Brodie\broditj01,29,CGY,D,43,594,565,51.3,2.0,413,416,49.8,1.1,10.9,91.6,102.4,48.7,51.3,19:45,17:09,25,31,-1.9,107,39.3
,85,Jonas Brodin\brodijo01,26,MIN,D,47,607,682,47.1,-2.7,457,482,48.7,-0.4,13.1,90.0,103.2,44.2,55.8,21:16,18:36,9,12,3.4,126,50.0
,86,Jonny Brodzinski\brodzjo01,26,SJS,C,3,21,15,58.3,-2.3,19,12,61.3,2.4,16.7,80.0,96.7,68.8,31.3,7:24,5:43,0,0,-0.6,6,83.3
,87,Adam Brooks\brookad01,23,TOR,C,6,32,32,50.0,-3.1,24,22,52.2,-0.8,18.8,90.9,109.7,40.0,60.0,7:12,6:47,2,0,0.5,4,25.0
,88,Troy Brouwer\brouwtr01,34,STL,RW,10,54,87,38.3,-10.5,37,63,37.0,-11.8,10.7,95.6,106.3,44.4,55.6,9:56,9:48,1,2,-2.2,18,50.0
,89,Connor Brown\brownco02,26,OTT,RW,47,559,626,47.2,-0.1,424,432,49.5,2.1,11.7,87.3,99.0,41.1,58.9,20:01,15:58,36,29,-0.5,183,60.1
,90,Dustin Brown\browndu01,35,LAK,RW,45,503,511,49.6,-4.7,367,381,49.1,-5.5,11.3,87.4,98.7,49.0,51.0,18:27,14:46,19,25,-3.8,188,54.8
,91,Josh Brown\brownjo01,26,FLA,D,41,411,446,48.0,-1.6,306,321,48.8,-1.0,12.3,92.1,104.4,54.3,45.7,13:46,13:03,10,18,0.0,81,49.4
,92,Logan Brown\brownlo01,21,OTT,C,23,168,185,47.6,-0.6,132,137,49.1,0.9,11.3,88.3,99.6,57.9,42.1,11:45,9:46,10,16,0.9,42,54.8
