,,,,,,,,,,,,,,,,,,,
,,,,Corsi (EV),Corsi (EV),Corsi (EV),Fenwick (EV),Fenwick (EV),Fenwick (EV),PDO (EV),PDO (EV),PDO (EV),Zone Starts (EV),Zone Starts (EV),,,,,
,Rk,Tm,Season,CF,CA,CF%,FF,FA,FF%,oiSH%,oiSV%,PDO,oZS%,dZS%,FOW,FOL,FO%,HIT,BLK
,1,TOR,2018-19,4588,4313,51.5,3359,3347,50.1,10.2,91.6,101.8,50.4,49.6,2239,1971,53.2,1347,966
,2,MTL,2018-19,4542,3880,53.9,3287,2881,53.3,8.7,91.2,99.9,51.7,48.3,1991,2084,48.9,2096,999
,3,CAR,2018-19,4521,3720,54.9,3428,2811,54.9,8.0,91.5,99.5,53.6,46.4,2019,2071,49.4,1956,909
,4,CAR,2017-18,4487,3727,54.6,3291,2866,53.5,7.6,90.1,97.7,56.7,43.3,2172,1867,53.8,1528,861
,5,CHI,2017-18,4458,4018,52.6,3125,2994,51.1,7.7,91.2,98.9,55.5,44.5,2021,2105,49.0,1315,1024
,6,VEG,2018-19,4424,3669,54.7,3237,2710,54.4,8.3,90.9,99.2,54.3,45.7,2057,2012,50.6,2163,959
,7,CGY,2017-18,4363,3836,53.2,3283,2905,53.1,7.3,91.0,98.3,51.8,48.2,2028,2028,50.0,1574,931
,8,LAK,2015-16,4322,3382,56.1,3234,2551,55.9,7.8,92.6,100.4,55.7,44.3,2037,2037,50.0,2322,831
,9,DAL,2015-16,4260,3889,52.3,3127,2852,52.3,9.0,91.5,100.4,50.9,49.1,2144,2071,50.9,1467,1037
,10,EDM,2017-18,4253,4104,50.9,3198,3024,51.4,8.1,91.1,99.2,52.6,47.4,1992,2116,48.5,2028,1080
,11,SJS,2018-19,4246,3615,54.0,3163,2673,54.2,9.9,89.3,99.2,53.3,46.7,1968,1923,50.6,1496,942
,12,CBJ,2017-18,4239,4009,51.4,3253,2952,52.4,8.1,92.3,100.4,52.2,47.8,2027,2152,48.5,1652,1057
,13,TOR,2017-18,4221,4199,50.1,3108,3250,48.9,9.4,92.2,101.6,47.8,52.2,2288,2087,52.3,1563,949
,14,SJS,2017-18,4193,4128,50.4,3132,2905,51.9,8.4,90.9,99.2,50.9,49.1,2090,1993,51.2,1303,1223
,15,TOR,2016-17,4181,4087,50.6,3119,3131,49.9,8.6,91.7,100.3,49.0,51.0,2070,2072,50.0,1823,956
,16,PIT,2017-18,4180,3825,52.2,3190,2829,53.0,8.3,90.8,99.0,53.4,46.6,2110,2119,49.9,1832,996
,17,CGY,2018-19,4152,3568,53.8,3062,2698,53.2,10.0,91.3,101.3,53.4,46.6,2032,1836,52.5,1177,870
,18,LAK,2016-17,4150,3432,54.7,3056,2551,54.5,6.9,91.0,97.9,56.3,43.7,2087,1976,51.4,2172,881
,19,MTL,2016-17,4149,3761,52.5,2997,2733,52.3,8.0,92.8,100.9,48.6,51.4,2122,2032,51.1,1739,1028
,20,BOS,2016-17,4147,3421,54.8,3123,2523,55.3,7.5,90.8,98.4,53.3,46.7,2197,1904,53.6,1665,898
,21,MTL,2017-18,4141,4077,50.4,2977,2949,50.2,6.7,91.4,98.1,50.7,49.3,1947,2154,47.5,2062,1128
,22,VEG,2017-18,4141,3952,51.2,3076,2940,51.1,9.3,91.7,101.0,52.1,47.9,2004,2101,48.8,1666,1012
,23,PIT,2018-19,4123,4190,49.6,3117,3124,49.9,8.8,92.3,101.1,48.1,51.9,2063,2049,50.2,2218,1066
,24,BOS,2017-18,4120,3605,53.3,3102,2712,53.4,8.9,91.7,100.5,55.4,44.6,2106,2046,50.7,1814,893
,25,STL,2017-18,4116,3852,51.7,3056,2746,52.7,8.1,91.9,100.0,49.4,50.6,2066,2005,50.7,1801,1106
,26,NSH,2018-19,4109,3772,52.1,3103,2829,52.3,8.6,92.3,100.9,51.0,49.0,2104,1927,52.2,1431,943
,27,TBL,2017-18,4086,3845,51.5,3079,2916,51.4,9.8,92.4,102.2,52.4,47.6,1982,2122,48.3,1629,929
,28,BOS,2018-19,4086,3628,53.0,3128,2709,53.6,8.2,92.4,100.6,54.0,46.0,2009,1992,50.2,1771,919
,29,TOR,2015-16,4070,3810,51.6,2986,2967,50.2,7.3,91.4,98.7,50.2,49.8,2090,2072,50.2,1960,843
,30,NSH,2017-18,4064,3891,51.1,3028,2895,51.1,8.9,93.2,102.1,48.3,51.7,2250,1917,54.0,1561,996
,31,DAL,2016-17,4061,4025,50.2,2965,2888,50.7,8.2,90.9,99.1,46.9,53.1,2103,2104,50.0,1461,1137
,32,CHI,2018-19,4053,4134,49.5,2962,3148,48.5,9.4,90.7,100.1,52.1,47.9,1940,1996,49.3,1285,986
,33,FLA,2017-18,4039,4151,49.3,3147,3140,50.1,8.1,91.7,99.9,45.5,54.5,2181,2095,51.0,1596,1011
,34,ARI,2017-18,4038,4330,48.3,2910,3288,47.0,8.0,91.3,99.2,46.9,53.1,2042,2220,47.9,1902,1042
,35,CAR,2016-17,4035,3841,51.2,2956,2910,50.4,7.6,90.7,98.3,54.7,45.3,2001,1820,52.4,1549,931
,36,PIT,2015-16,4028,3600,52.8,3014,2682,52.9,8.1,92.4,100.4,51.4,48.6,2125,2075,50.6,1829,918
,37,NSH,2016-17,4020,3840,51.1,2974,2884,50.8,8.2,91.9,100.1,49.6,50.4,2145,2019,51.5,1599,956
,38,TBL,2018-19,4015,3834,51.2,3039,2915,51.0,10.5,91.7,102.3,49.8,50.2,2057,1948,51.4,2015,919
,39,MIN,2018-19,4007,3876,50.8,3011,2823,51.6,7.2,90.7,97.8,50.6,49.4,1959,2035,49.0,1519,1053
,40,PIT,2016-17,4004,4024,49.9,3023,2914,50.9,9.3,92.3,101.6,52.6,47.4,2004,2213,47.5,1944,1110
,41,WPG,2017-18,4000,3827,51.1,2998,2831,51.4,9.2,92.2,101.4,50.0,50.0,2123,1888,52.9,1703,996
,42,PHI,2016-17,3999,3812,51.2,2880,2699,51.6,7.4,91.2,98.7,52.8,47.2,2060,1850,52.7,1917,1113
,43,CHI,2016-17,3974,3905,50.4,2869,2857,50.1,9.2,92.8,102.0,52.1,47.9,1879,2056,47.8,1107,1048
,44,CBJ,2016-17,3972,3937,50.2,2963,2925,50.3,8.8,92.8,101.5,49.0,51.0,2043,2127,49.0,1579,1012
,45,SJS,2016-17,3971,3864,50.7,2942,2700,52.1,8.6,91.8,100.4,51.9,48.1,1887,2041,48.0,1461,1164
,46,DAL,2017-18,3962,3761,51.3,2861,2702,51.4,8.6,91.9,100.5,47.5,52.5,2192,1971,52.7,1751,1059
,47,BUF,2018-19,3962,3987,49.8,3074,3111,49.7,7.6,90.6,98.2,49.9,50.1,1923,2120,47.6,1468,876
,48,PHI,2015-16,3958,3886,50.5,2838,2800,50.3,7.6,92.9,100.5,50.0,50.0,1979,1944,50.4,2071,1086
,49,STL,2018-19,3957,3710,51.6,2969,2723,52.2,8.7,91.3,100.0,50.8,49.2,2050,1941,51.4,1519,987
,50,WSH,2018-19,3948,4100,49.1,2958,3067,49.1,10.6,91.3,101.9,50.8,49.2,1753,2090,45.6,1760,1033
,51,NYI,2017-18,3932,4332,47.6,2878,3264,46.9,9.4,90.9,100.3,46.1,53.9,1973,2072,48.8,1731,1068
,52,LAK,2017-18,3929,3917,50.1,2930,2938,49.9,8.8,92.3,101.1,50.6,49.4,1962,2019,49.3,1995,979
,53,CHI,2015-16,3928,3788,50.9,2848,2814,50.3,7.8,92.4,100.3,52.0,48.0,1983,1996,49.8,1318,974
,54,ARI,2018-19,3928,4126,48.8,2903,3003,49.2,7.3,91.7,99.0,49.6,50.4,1903,2062,48.0,1918,1123
,55,CBJ,2018-19,3920,3897,50.1,3044,2923,51.0,9.6,90.8,100.4,50.5,49.5,2085,2026,50.7,1663,974
,56,CAR,2015-16,3918,3699,51.4,2916,2834,50.7,7.4,90.7,98.1,51.4,48.6,2081,1809,53.5,1457,865
,57,PHI,2018-19,3918,4128,48.7,2908,3012,49.1,9.4,90.3,99.6,46.8,53.2,2134,1818,54.0,1660,1116
,58,MTL,2015-16,3917,3698,51.4,2840,2705,51.2,7.9,91.2,99.1,48.4,51.6,2133,2129,50.0,1824,993
